,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
0,2129,3346,0.0,0.0,0.0,0.0,97,118,139
1,2129,3379,3.0,0.0,0.0,0.0,94,112,135
2,2129,3362,0.0,0.0,0.0,0.0,96,115,136
3,2123,3368,0.0,0.0,0.0,0.0,99,118,139
4,2124,78,34.0,0.63185019070049,15.949284553527832,20.57731819152832,93,129,137
5,2112,0,0.0,0.0,0.0,0.0,105,131,145
6,2117,69,99.5,0.5439628367339273,18.494382858276367,22.04049301147461,102,124,136
7,2099,36,0.0,0.0,0.0,0.0,95,119,139
8,2113,201,5484.0,0.9964033780983225,28.835046768188477,340.2899475097656,113,128,147
9,2123,227,125.5,0.8389282388902676,9.538358688354492,17.525949478149414,57,97,115
10,2121,193,34.0,0.0,7.211102485656738,7.211102485656738,59,49,66
11,2118,282,52.0,0.6123725092032348,8.162413597106934,10.324728012084961,32,31,70
12,2118,122,131.0,0.9092492560609149,9.385843276977539,22.548460006713867,91,120,127
13,2110,127,52.0,0.6123725092032348,8.162413597106934,10.324728012084961,89,106,119
14,2112,241,88.0,0.8017837267823511,9.816167831420898,16.42559051513672,72,79,96
15,2097,51,1.0,1.0,0.0,1.0,91,126,139
16,2097,68,0.0,0.0,0.0,0.0,87,121,137
17,2095,142,0.0,0.0,0.0,0.0,95,129,142
18,2094,84,0.0,0.0,0.0,0.0,97,126,140
19,2089,64,0.5,0.0,0.0,0.0,106,121,137
20,2088,90,0.0,0.0,0.0,0.0,91,136,139
21,2087,51,0.0,0.0,0.0,0.0,95,124,139
22,2086,60,0.0,0.0,0.0,0.0,109,142,138
23,2082,64,0.0,0.0,0.0,0.0,92,125,141
24,2084,76,10.5,0.6932435002533309,7.349072456359863,10.19708251953125,64,105,98
25,2081,21,10.5,0.8408663620950678,6.018190860748291,11.119207382202148,39,53,71
26,2076,125,0.0,0.0,0.0,0.0,89,123,139
27,2077,34,0.0,0.0,0.0,0.0,95,123,140
28,2072,5,0.0,0.0,0.0,0.0,86,132,140
29,2073,58,0.0,0.0,0.0,0.0,96,121,137
30,2070,17,0.0,0.0,0.0,0.0,99,118,139
31,2070,84,0.0,0.0,0.0,0.0,85,127,140
32,2075,46,50.5,0.8327367688730183,7.412316799163818,13.387629508972168,95,121,137
33,2069,6,0.0,0.0,0.0,0.0,105,125,142
34,2068,77,0.0,0.0,0.0,0.0,85,124,139
35,2065,83,0.0,0.0,0.0,0.0,89,134,147
36,2064,62,0.5,0.0,0.0,0.0,90,125,138
37,2063,53,0.0,0.0,0.0,0.0,93,124,139
38,2064,19,0.0,0.859046606019188,0.6651552319526672,1.299391746520996,108,134,141
39,2062,84,0.0,0.0,0.0,0.0,84,128,141
40,2062,69,0.0,0.0,0.0,0.0,95,127,140
41,2060,122,0.0,0.0,0.0,0.0,93,124,139
42,2059,118,0.5,0.0,0.0,0.0,92,126,139
43,2059,41,0.0,0.0,0.0,0.0,86,119,135
44,2076,107,425.5,0.7674840679692204,25.387657165527344,39.60212707519531,94,123,137
45,2054,46,0.5,0.0,0.0,0.0,90,123,138
46,2049,39,0.0,0.0,0.0,0.0,84,126,139
47,2050,105,2.5,0.9511966994901744,1.4075473546981812,4.5612921714782715,77,130,140
48,2055,76,54.5,0.6756836663718028,10.538972854614258,14.296109199523926,74,125,141
