,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo,clase
0,962,1,1.5,0.0,0.0,0.0,120,154,160,0
1,460,2545,0.0,0.0,0.0,0.0,14,123,167,0
2,449,2568,0.0,0.0,0.0,0.0,28,134,165,0
3,152,2943,0.0,0.0,0.0,0.0,144,157,165,0
4,129,2941,0.0,0.0,0.0,0.0,121,162,165,0
5,59,1,0.0,0.0,0.0,0.0,130,149,162,0
6,52,21,1.0,0.0,0.0,0.0,124,159,163,0
7,50,178,0.0,0.0,0.0,0.0,103,155,161,0
8,40,20,236.0,0.7075020096093034,18.066730499267575,25.564512252807617,136,152,165,0
9,22,3,0.0,0.0,0.0,0.0,135,151,163,0
10,9,86,0.0,0.0,0.0,0.0,117,148,163,0
11,9,80,0.0,0.0,0.0,0.0,104,149,163,0
12,6,95,0.0,0.0,0.0,0.0,120,149,163,0
13,181,2356,140756.0,0.5931459082081275,420.7372131347656,522.59326171875,147,168,189,0
14,247,2323,93.0,0.2451831067929155,11.400094032287598,11.75901699066162,75,115,144,0
15,225,2196,34.0,0.0,7.211102485656738,7.211102485656738,83,106,132,0
16,224,2242,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,111,124,138,0
17,171,2263,34.0,0.0,7.211102485656738,7.211102485656738,6,15,58,0
18,156,2394,47.0,0.0,8.602325439453125,8.602325439453125,47,66,103,0
19,146,2237,34.0,0.0,7.211102485656738,7.211102485656738,103,117,136,0
20,141,2359,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,71,95,123,0
21,143,2476,95.5,0.8790420366429953,8.690503120422363,18.228857040405277,44,75,128,0
22,126,2236,34.0,0.0,7.211102485656738,7.211102485656738,86,98,126,0
23,132,2323,1091.5,0.753578634784288,31.980993270874023,48.65081787109375,5,20,46,0
24,101,2450,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,65,56,96,0
25,65,2387,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,113,119,138,0
26,51,2310,34.0,0.0,7.211102485656738,7.211102485656738,61,65,93,0
27,22,2352,72.5,0.493188036360754,9.862834930419922,11.33759880065918,22,89,122,0
28,14,2360,34.0,0.0,7.211102485656738,7.211102485656738,19,40,91,0
29,10,2261,101.0,0.5909042732881435,10.924527168273926,13.541543006896973,19,17,53,0
30,1,207,0.0,0.0,0.0,0.0,102,153,163,0
31,1,198,0.0,0.0,0.0,0.0,109,152,161,0
32,1053,1620,6620807.0,0.809143004564134,2293.9619140625,3903.873291015625,114,172,194,0
33,2101,3222,34.0,0.0,7.211102485656738,7.211102485656738,112,123,137,0
34,2099,3143,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,105,116,138,0
35,2097,369,72.0,0.7147295670602657,8.870248794555664,12.68263816833496,62,55,106,0
36,2094,3223,59.0,0.2510379611705595,9.329404830932615,9.638041496276855,113,118,133,0
37,2093,869,100.5,0.6574704276670126,10.91835117340088,14.490558624267578,14,67,110,0
38,2092,174,56.0,0.7254681232361747,7.558192729949951,10.98166275024414,96,103,130,0
39,2088,2986,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,96,114,131,0
40,2090,99,98.0,0.9386808605469746,7.185222148895264,20.839582443237305,128,129,143,0
